amount,beneficiary_new,device_new,location_changed,transaction_count_last_hour,is_night_transaction,fraud
83910,0,0,1,7,0,1
96630,0,0,1,1,0,0
28757,0,0,0,13,0,0
77336,1,0,0,13,1,1
20479,0,1,0,2,1,0
47152,1,1,0,14,0,1
10428,1,1,0,2,0,0
38030,0,0,0,12,1,0
83420,1,0,1,11,0,1
92088,0,0,0,5,1,1
35482,0,1,0,7,0,1
52681,1,0,0,10,0,1
51956,1,0,1,4,0,1
70744,1,1,1,11,0,1
66884,1,0,0,3,0,0
89292,1,0,1,12,1,1
33053,0,0,1,10,0,1
57085,0,1,0,8,0,1
14047,1,0,0,11,0,1
69614,0,1,1,0,0,1
40406,0,0,0,2,0,0
9171,0,0,1,5,1,1
79607,1,0,0,9,1,1
57522,1,0,0,7,0,1
2857,0,0,0,2,0,0
8934,0,1,0,7,1,1
28180,0,1,0,15,1,1
12463,0,1,1,13,1,1
95661,0,0,0,12,1,0
32691,0,0,1,4,1,0
36609,1,0,0,14,0,0
85577,0,0,0,5,1,1
63192,0,1,0,5,1,1
51273,1,1,1,13,1,1
24990,1,0,0,1,1,0
6672,1,0,0,2,0,0
78092,0,0,1,3,0,1
78024,0,0,1,10,1,1
87882,1,0,1,12,0,1
60029,1,0,0,14,0,1
70568,0,1,0,11,0,1
48534,1,0,1,9,0,1
39340,0,0,1,3,0,0
20474,1,1,0,10,0,1
66344,1,1,0,2,1,1
5878,0,1,0,8,0,0
72409,1,0,0,2,0,1
4822,1,0,1,4,0,0
47895,0,1,0,7,0,1
73485,1,0,0,5,0,1
3348,0,1,1,7,1,1
92017,0,1,0,15,0,1
60432,1,1,0,7,0,1
52327,1,1,0,8,1,1
52486,1,0,0,8,0,1
34895,0,0,1,11,1,1
79557,0,1,0,8,0,1
321,0,1,1,2,1,1
41245,0,1,1,13,1,1
91484,1,0,0,13,1,1
80776,1,1,0,9,1,1
56446,1,1,1,14,0,1
62121,0,0,1,10,0,1
88284,1,0,0,4,0,0
32192,1,0,1,13,0,1
64899,1,0,0,0,0,0
28783,0,1,0,7,0,1
17577,1,1,1,13,1,1
97572,1,1,1,7,1,1
63617,0,1,1,2,1,1
35714,1,1,0,4,0,1
50305,0,0,0,13,1,1
